"num.trees","mtry","min.node.size","replace","sample.fraction","train_rmse","valid_rmse"
80,2,10,TRUE,0.5,263.611024670151,267.121617573993
500,2,10,TRUE,0.5,265.322664423767,269.538047846883
100,3,10,TRUE,0.5,246.237581074167,248.259649103041
80,3,10,TRUE,0.5,245.349513719461,249.982935365226
500,3,10,TRUE,0.5,245.197264354777,249.318656598686
100,0,1,FALSE,0.5,262.53912647725,265.536368929217
80,0,1,FALSE,0.5,262.314429360328,264.461074172599
500,0,1,FALSE,0.5,260.083701405187,265.290477986212
100,1,1,FALSE,0.5,384.814558515256,388.960875339864
80,1,1,FALSE,0.5,373.437770995764,377.673960052748
500,1,1,FALSE,0.5,377.805801968682,382.546668056452
100,2,1,FALSE,0.5,261.757066394197,266.725304339864
80,2,1,FALSE,0.5,262.576673634111,264.330964120297
500,2,1,FALSE,0.5,261.131991707927,264.863833948928
100,2,1,FALSE,0.5,262.67924103325,264.5858999383
80,2,1,FALSE,0.5,264.139484803734,265.931707735796
500,2,1,FALSE,0.5,260.773188545651,264.465837568799
100,3,1,FALSE,0.5,243.85940567868,246.325091659642
80,3,1,FALSE,0.5,246.219267689112,249.688794732677
500,3,1,FALSE,0.5,240.837401267034,245.405924763808
100,0,3,FALSE,0.5,261.899487073909,265.980167000131
80,0,3,FALSE,0.5,262.866536791493,266.655391341239
500,0,3,FALSE,0.5,261.268311335863,265.158476462886
100,1,3,FALSE,0.5,383.038134461114,387.193586557891
80,1,3,FALSE,0.5,376.449796103555,380.268453203705
500,1,3,FALSE,0.5,376.941817291542,381.604388162678
100,2,3,FALSE,0.5,263.044339620133,263.553061800497
80,2,3,FALSE,0.5,267.243396721866,270.106537809272
500,2,3,FALSE,0.5,260.326661274074,264.873909716836
100,2,3,FALSE,0.5,267.679472533693,268.420842864913
80,2,3,FALSE,0.5,263.138690232966,265.267548351854
500,2,3,FALSE,0.5,262.147905218884,265.872342420864
100,3,3,FALSE,0.5,244.1230223663,249.373081071445
80,3,3,FALSE,0.5,242.405311061852,248.752185017154
500,3,3,FALSE,0.5,240.962625720911,245.152625964769
100,0,5,FALSE,0.5,261.374598246717,266.298942704325
80,0,5,FALSE,0.5,262.802563640213,267.770033483625
500,0,5,FALSE,0.5,262.499568957749,266.145079434395
100,1,5,FALSE,0.5,377.624780875579,381.036120817037
80,1,5,FALSE,0.5,380.86823984729,383.895461553841
500,1,5,FALSE,0.5,378.320346993694,383.312707960878
100,2,5,FALSE,0.5,265.213809894194,268.847295576894
80,2,5,FALSE,0.5,265.212502830131,267.342439132799
500,2,5,FALSE,0.5,262.801603908028,266.985850646847
100,2,5,FALSE,0.5,258.706379489977,262.03144004144
80,2,5,FALSE,0.5,262.26494266214,265.870595668151
500,2,5,FALSE,0.5,261.865504624115,265.932078938006
100,3,5,FALSE,0.5,243.910305708633,247.182072323214
80,3,5,FALSE,0.5,245.359600851603,247.826840625041
