,max_depth,learning_rate,n_estimators,train_rmse,valid_rmse
71,4,0.15,100,160.9094983402049,203.70290419362755
72,4,0.15,150,141.5283325259046,192.48704013889636
73,4,0.15,300,109.78588065380134,181.05663761402505
74,4,0.15,500,87.92593583152997,178.52509064513634
75,5,0.05,50,241.18866099352667,264.5322573059064
76,5,0.05,100,183.24610394858468,217.01890575107166
77,5,0.05,150,159.40444744693707,200.9969981825019
78,5,0.05,300,125.22789753070978,181.93648156091385
79,5,0.05,500,105.43831667734167,173.92808045811717
80,5,0.7,50,98.62350795600148,206.82912420683135
81,5,0.7,100,61.69298900990337,211.12222866000883
82,5,0.7,150,44.475186063250035,211.6435757838566
83,5,0.7,300,17.054190390108175,212.30995455714822
84,5,0.7,500,5.607052344303127,211.96363245573534
85,5,0.1,50,182.51823073462947,218.2472578694479
86,5,0.1,100,143.41369761424426,192.36994882229448
87,5,0.1,150,124.4429560493086,182.10187766489543
88,5,0.1,300,92.54500231575425,171.6352697471573
89,5,0.1,500,69.78672577005892,169.13464148395173
90,5,0.12,50,173.44793724674682,209.81365044667686
91,5,0.12,100,137.46400886758107,186.24658415068885
92,5,0.12,150,118.39138439314513,178.31103260884254
93,5,0.12,300,84.85400401737236,170.6331062354657
94,5,0.12,500,60.81382955048049,166.8071118252609
95,5,0.15,50,158.40388476529333,201.3560543451155
96,5,0.15,100,124.64348079455343,183.42984988487788
97,5,0.15,150,103.38652132718134,176.13461157607242
98,5,0.15,300,72.80897377685363,169.30660184419241
99,5,0.15,500,50.26194583996396,167.47669274426065
100,6,0.05,50,208.99420814740975,240.19894391304797
101,6,0.05,100,153.0618805379796,199.44244095548038
102,6,0.05,150,127.65700499529882,183.9267054399694
103,6,0.05,300,97.75243124918198,170.8810323106431
104,6,0.05,500,74.51049069361018,163.93694752783213
105,6,0.7,50,66.18680891005317,208.40009718637927
106,6,0.7,100,35.27632657666188,208.72794519332825
107,6,0.7,150,19.611745978050877,209.17432117539747
108,6,0.7,300,3.9088026184828575,210.15040813501923
109,6,0.7,500,0.4624817070075662,211.90728072580157
110,6,0.1,50,148.14172172682603,196.37812612674722
111,6,0.1,100,111.23198346782627,176.3368145406215
112,6,0.1,150,91.81902132987942,169.144585878915
113,6,0.1,300,60.6627317285545,163.24120942343765
114,6,0.1,500,38.81491044523242,160.05190383550485
115,6,0.12,50,137.80021580814682,189.90779894180756
116,6,0.12,100,102.24413047498007,172.60013681603982
117,6,0.12,150,84.42440277767192,167.5277676943039
118,6,0.12,300,53.39733521699859,162.55170388609096
119,6,0.12,500,31.7176555217003,159.88107501634772
120,6,0.15,50,129.16855383745616,186.08701880276115
121,6,0.15,100,97.48022773582962,172.40780944725802
122,6,0.15,150,77.94771149283366,168.55206045334813
123,6,0.15,300,44.47962426538601,163.7540591354082
124,6,0.15,500,23.864071230020166,162.59565254647282
