"...1","num.trees","mtry","min.node.size","replace","sample.fraction","train_rmse","valid_rmse"
141,500,4,3,TRUE,0.63,256.83527039094,258.099443084429
142,100,8,3,TRUE,0.63,207.288376983016,211.159248783975
143,320,8,3,TRUE,0.63,207.900052951315,210.812883287474
144,500,8,3,TRUE,0.63,207.714050429725,211.264531582893
145,100,10,3,TRUE,0.63,201.093558976055,205.121413375736
146,320,10,3,TRUE,0.63,199.194558650724,203.33658192872
147,500,10,3,TRUE,0.63,199.102858896888,203.116494903619
148,100,12,3,TRUE,0.63,196.466619654586,201.4443796012
149,320,12,3,TRUE,0.63,194.75038995583,198.18533211138
150,500,12,3,TRUE,0.63,193.606134273649,197.106906765877
151,100,1,5,TRUE,0.63,504.199961757643,508.287233810052
152,320,1,5,TRUE,0.63,505.647297872535,510.936044357402
153,500,1,5,TRUE,0.63,503.623400140206,508.883712336771
154,100,4,5,TRUE,0.63,262.30619226825,263.425407498947
155,320,4,5,TRUE,0.63,258.018793161699,259.046895503904
156,500,4,5,TRUE,0.63,256.517850911702,260.222567841399
157,100,8,5,TRUE,0.63,210.028700380824,212.040819180235
158,320,8,5,TRUE,0.63,209.40651530672,212.999696851888
159,500,8,5,TRUE,0.63,209.196195328962,212.298242446085
160,100,10,5,TRUE,0.63,200.649579711344,204.066065289927
161,320,10,5,TRUE,0.63,202.851095963766,206.618884014757
162,500,10,5,TRUE,0.63,200.116049595308,204.624894118888
163,100,12,5,TRUE,0.63,197.902727118289,200.149105995318
164,320,12,5,TRUE,0.63,195.296068823413,200.235023357211
165,500,12,5,TRUE,0.63,194.738412501245,200.180935441595
166,100,1,10,TRUE,0.63,500.70916403903,505.950228592123
167,320,1,10,TRUE,0.63,500.650541552595,506.301578601715
168,500,1,10,TRUE,0.63,503.774911887562,508.785062418754
169,100,4,10,TRUE,0.63,267.422563028697,268.997371230412
170,320,4,10,TRUE,0.63,266.431267719021,268.429968009308
171,500,4,10,TRUE,0.63,264.206546604713,266.836999682623
172,100,8,10,TRUE,0.63,218.331426381242,222.146665832947
173,320,8,10,TRUE,0.63,215.602845530555,218.164337362875
174,500,8,10,TRUE,0.63,214.7280082815,217.921309505576
175,100,10,10,TRUE,0.63,211.143920202635,212.859544232887
176,320,10,10,TRUE,0.63,205.950821554004,210.732931182907
177,500,10,10,TRUE,0.63,206.777217068478,211.30378564548
178,100,12,10,TRUE,0.63,200.395563584548,206.065218826023
179,320,12,10,TRUE,0.63,199.494013840828,202.698413209325
180,500,12,10,TRUE,0.63,198.14418959925,203.737927686511
181,100,1,1,FALSE,0.63,507.948210504071,512.96496167136
182,320,1,1,FALSE,0.63,506.359244209638,510.991418711895
183,500,1,1,FALSE,0.63,496.680307998204,501.560930043514
184,100,4,1,FALSE,0.63,259.032205017712,257.561328525391
185,320,4,1,FALSE,0.63,247.092575599726,249.867784463278
186,500,4,1,FALSE,0.63,244.423321211108,246.744800215042
187,100,8,1,FALSE,0.63,197.500012725447,197.995127714747
188,320,8,1,FALSE,0.63,197.210406379979,200.852990079516
189,500,8,1,FALSE,0.63,195.633248575065,199.071681354252
190,100,10,1,FALSE,0.63,192.795250643308,194.271155304477
191,320,10,1,FALSE,0.63,189.305526891043,193.728151608307
192,500,10,1,FALSE,0.63,188.173157166907,191.889496584554
193,100,12,1,FALSE,0.63,185.095255552525,187.990824979754
194,320,12,1,FALSE,0.63,181.470960000262,187.184581792104
195,500,12,1,FALSE,0.63,182.205804060102,188.144307336341
196,100,1,3,FALSE,0.63,494.599928469555,500.297105135843
197,320,1,3,FALSE,0.63,500.943872844176,505.190256823629
198,500,1,3,FALSE,0.63,494.625710547676,499.894822889266
199,100,4,3,FALSE,0.63,247.699161497093,246.774051001939
200,320,4,3,FALSE,0.63,248.586387328419,250.686125461734
201,500,4,3,FALSE,0.63,246.86703088749,249.077051187895
202,100,8,3,FALSE,0.63,202.585692731971,204.442957287314
203,320,8,3,FALSE,0.63,198.918055587199,201.867264048053
204,500,8,3,FALSE,0.63,197.613994068186,200.382665478008
205,100,10,3,FALSE,0.63,193.256542892212,193.443000591536
206,320,10,3,FALSE,0.63,190.074842892966,193.626838071358
207,500,10,3,FALSE,0.63,189.14786717981,192.840862954905
208,100,12,3,FALSE,0.63,188.318176758159,190.649162678745
209,320,12,3,FALSE,0.63,184.230743805887,189.952150142155
210,500,12,3,FALSE,0.63,184.399879628983,189.205367144882
211,100,1,5,FALSE,0.63,496.034834829469,498.79332789044
212,320,1,5,FALSE,0.63,504.325791547711,509.292898871729
213,500,1,5,FALSE,0.63,502.81530409818,507.414126267774
214,100,4,5,FALSE,0.63,258.121179020304,258.183290611041
215,320,4,5,FALSE,0.63,252.948640942906,256.017375527167
216,500,4,5,FALSE,0.63,250.853909481654,253.809391063409
217,100,8,5,FALSE,0.63,203.982899790555,206.993206205177
218,320,8,5,FALSE,0.63,201.959746004826,204.065235603619
219,500,8,5,FALSE,0.63,199.855077237088,204.691919536146
220,100,10,5,FALSE,0.63,195.78053411034,199.57603067039
221,320,10,5,FALSE,0.63,192.576985155958,195.979249883899
222,500,10,5,FALSE,0.63,192.476740704009,196.967850248306
223,100,12,5,FALSE,0.63,189.190428492095,191.608442030808
224,320,12,5,FALSE,0.63,185.057894904509,191.403317662181
225,500,12,5,FALSE,0.63,185.749027816089,191.142647441448
226,100,1,10,FALSE,0.63,501.73302298962,505.842510767498
227,320,1,10,FALSE,0.63,502.569661024195,508.112750409165
228,500,1,10,FALSE,0.63,499.284330866654,504.183937345527
229,100,4,10,FALSE,0.63,260.299369069475,260.362408877392
230,320,4,10,FALSE,0.63,261.052442167678,262.873568913937
231,500,4,10,FALSE,0.63,259.439425796615,262.096965923724
232,100,8,10,FALSE,0.63,210.939446089436,212.69998636791
233,320,8,10,FALSE,0.63,207.678713157938,210.971460636789
234,500,8,10,FALSE,0.63,206.998938613629,211.24293482418
235,100,10,10,FALSE,0.63,202.574152483345,206.171365798564
236,320,10,10,FALSE,0.63,199.727339078762,203.696946245256
237,500,10,10,FALSE,0.63,198.31715069507,203.107589696641
238,100,12,10,FALSE,0.63,194.628834650538,197.141873140929
239,320,12,10,FALSE,0.63,192.178535274634,197.979572349834
240,500,12,10,FALSE,0.63,192.063707251614,197.939026359057
241,100,1,1,TRUE,0.8,509.054156257598,513.760816306855
242,320,1,1,TRUE,0.8,505.827833543909,510.825047260257
243,500,1,1,TRUE,0.8,494.722708275042,499.573533457498
244,100,4,1,TRUE,0.8,251.575241102447,251.363530257037
245,320,4,1,TRUE,0.8,250.851158061679,253.162142124089
